Chain,Store Number,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country,Source
Sheetz,343,41.43745,-75.619641,1,rooftop,1101,Oneill Hwy,Scranton,PA,Lackawanna County,18512,US,Lackawanna
Sheetz,643,39.263099,-81.544253,1,rooftop,1110,7th St,Parkersburg,WV,Wood County,26101,US,Statewide
Wawa,670,37.36418,-77.497448,1,rooftop,11021,Iron Bridge Rd,Chester,VA,Chesterfield County,23831,US,Virginia Geographic Information Network (VGIN)
Wawa,659,37.505526,-77.600834,1,rooftop,11021,Midlothian Tpke,Richmond,VA,Chesterfield County,23235,US,Virginia Geographic Information Network (VGIN)
Wawa,5200,26.617772,-81.770137,1,rooftop,11031,Colonial Blvd,Fort Myers,FL,Lee County,33913,US,Lee
Wawa,5316,28.080285,-80.603351,1,rooftop,1206,Strawbridge Ave E,Melbourne,FL,Brevard County,32901,US, Loveland
Wawa,8615,37.648535,-77.58995,1,rooftop,11052,W Broad St,Glen Allen,VA,Henrico County,23060,US,Henrico
Sheetz,84,41.395099,-79.827137,1,rooftop,1107,Liberty St,Franklin,PA,Venango County,16323,US,Venango
Sheetz,363,41.485329,-75.6946,1,rooftop,1109,Northern Blvd,Clarks Summit,PA,Lackawanna County,18411,US,Lackawanna
Sheetz,92,40.199906,-79.922243,0.99,nearest_street,109,State Rte 88,Monongahela,PA,Washington County,15063,US,TIGER/Line?? dataset from the US Census Bureau
Sheetz,284,39.896748,-80.161765,1,rooftop,111,E Roy Furman Hw,Waynesburg,PA,Greene County,15370,US,Greene
Wawa,8048,39.883713,-75.32929,0.98,nearest_street,104,Morton Ave,Folsom,PA,Delaware County,19033,US,TIGER/Line?? dataset from the US Census Bureau
Sheetz,198,38.866776,-78.518705,1,rooftop,111,W Reservoir Rd,Woodstock,VA,Shenandoah County,22664,US,Virginia Geographic Information Network (VGIN)
Wawa,732,39.911656,-74.997276,1,rooftop,1110,State Highway 70,Cherry Hill,NJ,Camden County,08034,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Sheetz,451,39.785548,-77.706305,1,rooftop,805,Buchanan Trl E,Greencastle,PA,Franklin County,17225,US,Franklin
Wawa,6001,38.904417,-77.04296,1,rooftop,1111,19th St NW,Washington,DC,District of Columbia,20036,US,City of Washington
Wawa,8067,40.311627,-75.634064,0.98,nearest_street,,Pa 100,Boyertown,PA,Montgomery County,19512,US,TIGER/Line?? dataset from the US Census Bureau
Wawa,8637,38.737141,-77.532118,1,rooftop,11111,Nokesville Rd,Manassas,VA,Prince William County,20110,US,Virginia Geographic Information Network (VGIN)
Wawa,960,39.927057,-74.953862,1,rooftop,1115,State Highway 73,Mount Laurel,NJ,Burlington County,08054,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Wawa,461,39.331425,-74.591868,1,rooftop,112,New Rd,Linwood,NJ,Atlantic County,08221,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Wawa,216,40.10518,-75.344773,0.99,nearest_street,430,Mill St,Bridgeport,PA,Montgomery County,19405,US,TIGER/Line?? dataset from the US Census Bureau
Wawa,933,40.083936,-74.266854,1,rooftop,1120,E Veterans Hwy,Jackson,NJ,Ocean County,08527,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Wawa,5123,28.246664,-81.256775,1,rooftop,1125,E Irlo Bronson Memorial Hwy,Saint Cloud,FL,Osceola County,34769,US,MapWise (and individual Florida counties)
Sheetz,158,40.595649,-77.579905,1,rooftop,71,N Juniata St Suite A & B,Lewistown,PA,Mifflin County,17044,US,Mifflin
Sheetz,438,39.30274,-77.815243,1,rooftop,1130,Marlow Rd,Charles Town,WV,Jefferson County,25414,US,Jefferson
Sheetz,492,36.046971,-79.394664,1,rooftop,128,E Moore St,Graham,NC,Alamance County,27253,US,NC Geographic Information Coordinating Council
Wawa,148,40.211325,-75.186019,0.98,nearest_street,1140,Limekiln Pike,Ambler,PA,Montgomery County,19002,US,TIGER/Line?? dataset from the US Census Bureau
Wawa,660,38.297256,-77.513588,1,rooftop,1140,Carl D Silver Pkwy,Fredericksburg,VA,Fredericksburg city,22401,US,Virginia Geographic Information Network (VGIN)
Sheetz,307,38.239378,-77.149247,1,rooftop,11449,Kings Hwy,King George,VA,King George County,22485,US,Virginia Geographic Information Network (VGIN)
Wawa,8060,40.139662,-75.172842,0.98,nearest_street,1289,Virginia Dr,Fort Washington,PA,Montgomery County,19034,US,TIGER/Line?? dataset from the US Census Bureau
Wawa,8645,36.861237,-76.209482,1,rooftop,1146,N Military Hwy,Norfolk,VA,Norfolk city,23502,US,City of Norfolk
Sheetz,48,40.450347,-78.838039,0.99,rooftop,115,Pace St,Nanty-Glo,PA,Cambria County,15943,US,Cambria
Wawa,565,38.629883,-76.918912,1,rooftop,11505,Berry Rd,Waldorf,MD,Charles County,20603,US,Statewide
Wawa,5107,28.053235,-82.426962,1,rooftop,11510,N 30th St,Tampa,FL,Hillsborough County,33612,US,Hillsborough County
Wawa,317,39.876911,-75.111265,1,rooftop,1177,W Browning Rd,Bellmawr,NJ,Camden County,08031,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Sheetz,236,40.063271,-76.542205,1,rooftop,1158,River Rd,Marietta,PA,Lancaster County,17547,US,Lancaster
Wawa,997,40.029319,-74.143854,1,rooftop,116,Brick Blvd,Brick,NJ,Ocean County,08723,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Sheetz,591,39.635212,-78.845498,1,nearest_street,,I 68,Cumberland,MD,Allegany County,21502,US,TIGER/Line?? dataset from the US Census Bureau
Sheetz,282,41.225162,-80.740696,1,rooftop,1162,Niles Cortland Rd SE,Warren,OH,Trumbull County,44484,US,Trumbull
Sheetz,630,38.732643,-77.544787,1,rooftop,11627,Nokesville Rd,Bristow,VA,Prince William County,20136,US,Prince William
Wawa,939,39.98839,-74.147401,1,rooftop,1166,Fischer Blvd,Toms River,NJ,Ocean County,08753,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Wawa,270,41.072492,-75.702301,1,nearest_street,,I 476,White Haven,PA,Carbon County,18661,US,TIGER/Line?? dataset from the US Census Bureau
Sheetz,400,41.427853,-78.559346,1,rooftop,117,S Michael St,Saint Marys,PA,Elk County,15857,US,Elk
Wawa,866,39.663351,-75.60774,1,rooftop,117,S Dupont Hwy,New Castle,DE,New Castle County,19720,US,New Castle
Wawa,692,37.36752,-77.416473,1,rooftop,11701,Jefferson Davis Hwy,Chester,VA,Chesterfield County,23831,US,Virginia Geographic Information Network (VGIN)
Sheetz,590,38.478983,-77.474373,1,rooftop,1183,Garrisonville Rd,Stafford,VA,Stafford County,22556,US,Virginia Geographic Information Network (VGIN)
Wawa,5145,28.597349,-81.214591,1,rooftop,11750,University Blvd,Orlando,FL,Orange County,32817,US,Orange County
Wawa,5282,28.927187,-82.03766,1,rooftop,11732,N US 301,Oxford,FL,Sumter County,34484,US,Sumter
Sheetz,579,38.783594,-77.519962,1,rooftop,11774,Sudley Manor Dr,Manassas,VA,Prince William County,20109,US,Virginia Geographic Information Network (VGIN)
